0x41b99c	演示模式中
0x426ea0	滑动触控板进行选择
0x426ebc	按住指环挥动手腕进行选择
0x426ee4	早上好！
0x426ef4	早安，新的一天开始了！
0x426f18	迎接新的一天，愿你充满活力！
0x426f44	愿你有一个愉快的开始！
0x426f68	夜深了注意休息
0x426f80	保持身体健康，从良好的睡眠开始
0x426fb0	健康的身体需要充足睡眠，晚安
0x426fdc	愿你的睡眠充满健康和平静
0x427004	已连续使用1小时，请注意休息！
0x427030	眼睛劳累了，休息一下吧
0x427054	长按电源键使用语音助理
0x427078	你可以说Hey Aicy，我将为你服务
0x4270a4	通话中长按电源键1秒即可挂断
0x4270d0	来电时按下电源键1次，来电静音
0x4270fc	保存成功，请去手机相册查看
0x427124	保存失败，请重新截屏
0x427144	眼镜固件更新
0x427158	请去 MYVU App 将眼镜版本升级到最新版本
0x427190	App 软件更新
0x4271a4	请去手机将 MYVU AR App 升级到最新版本
0x4271d8	长按触控板打开应用列表
0x4271fc	按下指环1次打开应用列表
0x427220	双击关闭
0x427230	App的隐私政策
0x427244	已断连，请打开MYVU AR重新同意App隐私政策后连接
0x427288	眼镜的隐私政策
0x4272a0	已断连，请打开MYVU AR重新同意眼镜隐私政策后绑定
0x4272e4	单击确定
0x4272f4	挥动手腕可调整位置
0x427310	请打开 MYVU AR App 连接后再试
0x427338	新手引导
0x427348	语音转写
0x427358	请打开MYVU App连接手机使用
0x42737c	请先在手机侧同意个人信息处理规则
0x4273b0	请先在手机侧同意个人数据跨境传输
0x4273e4	更新预计 10 分钟，更新时眼镜不可用
0x427418	今天
0x427420	周一
0x427428	周二
0x427430	周三
0x427438	周四
0x427440	周五
0x427448	周六
0x427450	周日
0x427458	暂无天气信息
0x42746c	更新天气数据失败
0x427488	未知
0x427490	确定退出应用吗？
0x4274ac	关机
0x4274b4	:取消
0x4274bc	等
0x4274c0	等剩余内容请进入手机应用内查看
0x4274f0	回复
0x4274f8	说
0x4274fc	发来
0x427504	未接
0x42750c	验证码
0x427518	消息
0x427520	网络异常，请检查网络设置
0x427548	导航中已关闭通知
0x427564	导航中已开启通知
0x427580	切换步行导航
0x427594	切换骑行导航
0x4275a8	切换驾车导航
0x4275bc	切换失败
0x4275cc	切换中...
0x4275dc	导航播报已开启
0x4275f4	导航播报已关闭
0x42760c	路线已刷新
0x42761c	刷新失败
0x42762c	现在
0x427634	回家
0x42763c	去公司
0x427648	已在附近
0x427658	去设置
0x427664	导航终点不能为当前位置
0x427688	切换成功
0x427698	切换失败，步行路程太长
0x4276bc	切换失败，骑行路程太长
0x4276e0	好的，已结束本次导航。
0x427704	请去 MYVU AR App 设置家的地址
0x42772c	请去 MYVU AR App 设置公司地址
0x427754	按下指环 1 秒使用语音搜索地址
0x427780	长按电源键 1 秒使用语音搜索地址
0x4277b0	双击进入小窗模式
0x4277cc	夜间请不要使用 AR 导航
0x4277ec	请调高音量
0x4277fc	步行剩余里程
0x427810	驾车剩余里程
0x427824	骑行剩余里程
0x427838	所需时间
0x427848	当前时间
0x427858	单击打开 / 双击关闭
0x427874	单击确定 / 双击取消
0x427890	更新中
0x42789c	安装失败
0x4278ac	更新预计5分钟，请保持眼镜与手机连接
0x4278e4	系统更新，重启生效
0x427900	更新预计10分钟，请保持眼镜与手机连接
0x427938	连接已断开
0x427948	加载中，请稍候
0x427960	请先去手机播放音乐哦
0x427980	好音质 听得见
0x427994	暂不支持显示该语言
0x4279b0	退出后，继续播放？
0x4279cc	直接退出
0x4279dc	后台播放
0x4279ec	请先在手机端启动音频
0x427a0c	服务器连接失败
0x427a24	请去手机端官方QQ音乐登录
0x427a48	没有可播放的内容
0x427a64	听我想听
0x427a74	艺术家
0x427a80	请去手机端下载官方QQ音乐并登录
0x427ab0	请去手机QQ音乐APP同意相关协议吧！
0x427ae0	单击播放 / 双击关闭
0x427afc	播放失败，请去手机端官方QQ音乐播放
0x427b30	历史播放
0x427b40	我的收藏
0x427b50	猜你喜欢
0x427b60	持续推荐好歌
0x427b74	登录播放收藏歌单
0x427b90	首
0x427b94	单击暂停 / 双击关闭
0x427bb0	播放失败，请打开MYVU App
0x427bd4	歌曲信息获取失败
0x427bf0	已开启勿扰模式
0x427c08	已关闭勿扰模式
0x427c20	已开启通话和通知提醒
0x427c40	已屏蔽通话和通知提醒
0x427c60	已开启通话提醒
0x427c78	已屏蔽通话提醒
0x427c90	已开启通知提醒
0x427ca8	已屏蔽通知提醒
0x427cc0	请说话
0x427ccc	请结束通话后再回复
0x427ce8	回复失败，请去手机回复
0x427d0c	发送失败，请去手机回复
0x427d30	发送失败，请去手机发送
0x427d54	已发送
0x427d60	单击回复 / 双击取消
0x427d7c	单击发送 / 双击取消
0x427d98	双击取消
0x427da8	智慧提醒
0x427db8	手机解锁使用时，眼镜是否需要提醒手机通知？
0x427df8	单击提醒 / 双击不提醒
0x427e18	已暂停播报5分钟，可在MYVU App智慧提醒内修改暂停时间
0x427e64	已暂停播报30分钟，可在MYVU App智慧提醒内修改暂停时间
0x427eb0	已暂停播报1小时，可在MYVU App智慧提醒内修改暂停时间
0x427efc	已暂停播报4小时，可在MYVU App智慧提醒内修改暂停时间
0x427f48	已暂停播报至7点，可在MYVU App智慧提醒内修改暂停时间
0x427f94	单击接听 / 双击挂断
0x427fb0	双击挂断
0x427fc0	长按电源键1s挂断
0x427fd8	按下指环1s挂断
0x427ff0	单击回拨 / 双击取消
0x42800c	正在挂断
0x42801c	请去MYVU APP中允许拨打电话权限吧
0x42804c	请去手机开启相关权限
0x42806c	拨打失败，请去手机拨打
0x428090	接听失败，请去手机上操作吧
0x4280b8	挂断失败，请去手机挂断
0x4280dc	通话后对方能看到手机摄像画面
0x428108	通话中
0x428114	接听后，请去手机挂断电话
0x42813c	卡一
0x428144	卡二
0x42814c	未知号码
0x42815c	未知归属地
0x42816c	有新通话，请去手机上操作
0x428194	请去手机上操作
0x4281ac	电话
0x4281b4	多路通话中
0x4281c4	有新来电，你可以说接听或挂断电话
0x4281f8	电话翻译
0x428208	是否翻译当前电话内容？翻译时将开启对话翻译。
0x42824c	单击翻译 / 双击取消
0x428268	卡槽
0x428270	微信联系人
0x428280	内容由 AI 生成，仅供参考
0x4282a4	内容由谷歌 AI 生成，仅供参考
0x4282d0	日程
0x4282d8	新建日程
0x4282e8	明天
0x4282f0	开始
0x4282f8	结束
0x428300	帮我记
0x42830c	新建帮我记
0x42831c	导航异常，请在手机定位权限设置中授予MYVU AR App始终允许
0x42836c	请打开充电仓并取出 MYVU Ring
然后单击眼镜触控板开始搜索
0x4283bc	搜索指环
0x4283cc	搜索中
0x4283d8	双击返回
0x4283e8	请确保指环已开机且未绑定其他眼镜
0x42841c	连接中
0x428428	连接失败
0x428438	断开连接
0x428448	解除绑定
0x428458	未搜索到指环
长按电源键 3 秒，将指环开机或长按电源键 10 秒， 将指环重置
0x4284c0	我知道了
0x4284d0	解绑成功，如需重新绑定
请用力按压指环 10 秒直至红灯闪烁
0x428524	已解绑
如需继续使用，请重新绑定眼镜
0x42855c	确认与
0x428568	解除绑定吗？
0x42857c	解绑中
0x428588	正在初始化
0x428598	初始化完成
0x4285a8	请保持指环静止
0x4285c0	未连接
0x4285cc	断开连接失败
0x4285e0	请取出指环，等待连接
0x428600	请确保指环为绿灯闪烁状态
0x428628	查看指环内侧的SN码，后四位即为指环编号
0x428664	未搜索到指环
0x428678	请试试以下办法，再重新连接：
0x4286a4	对准充电仓的充电口放入指环，再重新取出；
0x4286e4	或长按指环电源键10秒，直到红灯闪烁后松手
0x428720	重新连接
0x428730	按下指环1次返回
0x428748	长按触控板返回
0x428760	指环固件更新
0x428774	更新预计 2 分钟，更新时眼镜和指环不可用
0x4287b0	请连接指环后再试
0x4287cc	正在更新指环，请稍后再试
0x4287f4	请保持指环和眼镜电量不低于15%
0x428820	指环更新中，请保持指环与眼镜连接
0x428854	没有更多内容
0x428868	固件更新
0x428878	正在更新...
0x428888	使用说明
0x428898	指环使用说明
0x4288ac	触控键
0x4288b8	内侧按键
0x4288c8	单击：
0x4288d4	确认
0x4288dc	息屏/亮屏
0x4288ec	双击：
0x4288f8	长按：
0x428904	回到桌面
0x428914	唤醒语音助手
0x428928	长按3/5秒：
0x428938	指环开/关机
0x42894c	长按10秒：
0x42895c	挥动：
0x428968	切换选择
0x428978	当前已是最新版本
0x428994	发现新固件版本
0x4289ac	当前版本
0x4289bc	更新内容
0x4289cc	亮度
0x4289d4	自动息屏
0x4289e4	系统语言
0x4289f4	解绑设备
0x428a04	关于眼镜
0x428a14	标准
0x428a1c	勿扰
0x428a24	开启
0x428a2c	关闭
0x428a34	台设备
0x428a40	30秒
0x428a48	1分钟
0x428a50	2分钟
0x428a58	15秒
0x428a60	产品型号
0x428a70	固件版本
0x428a80	蓝牙地址
0x428a90	序列号
0x428a9c	恢复出厂设置
0x428ab0	即将恢复出厂设置，不可恢复
0x428ad8	已开启MMI模式
0x428aec	开启后佩戴眼镜自动连接手机，摘下自动断连
0x428b2c	勿扰模式
0x428b3c	开启后将屏蔽通知提醒
0x428b5c	媒体音量
0x428b6c	通话音量
0x428b7c	更多设置
0x428b8c	画面防抖
0x428b9c	自动亮度调节
0x428bb0	字体大小
0x428bc0	大字体示意
0x428bd0	标准字体示意
0x428be4	标准字体
0x428bf4	大字体
0x428c00	单击眼镜触控板，刷新连接
0x428c28	已刷新
0x428c34	正在连接
0x428c44	正在连接中...
0x428c58	"%s"的配对码，请前往手机确认
0x428c84	 连接成功！
0x428c98	手机
0x428ca0	第 1 步
0x428cac	第 2 步
0x428cb8	登录后点击“绑定眼镜”，跟随手机弹窗引导继续连接
0x428d04	在手机上安装 MYVU AR App
0x428d24	重启
0x428d2c	单击滚轮，刷新连接
0x428d48	网络不佳
0x428d58	网络异常，请检查手机网络
0x428d80	服务异常，请重新尝试
0x428da0	未检测到声音，是否继续翻译?
0x428dcc	未检测到声音，是否继续转写?
0x428df8	记录已保存至 MYVU AR App
0x428e18	手机端翻译已经退出
0x428e34	麦克风被占用，请稍后再试
0x428e5c	请连接眼镜后再试
0x428e78	启动远程服务失败
0x428e94	同传翻译
0x428ea4	单击继续 / 双击取消
0x428ec0	中英互译，正在听
0x428edc	中英转写，正在听
0x428ef8	%s译%s，正在听
0x428f0c	%s文转写，正在听
0x428f24	英
0x428f28	法
0x428f2c	韩
0x428f30	俄
0x428f34	西
0x428f38	越
0x428f3c	马来
0x428f44	印尼
0x428f4c	泰
0x428f50	德
0x428f54	土耳其
0x428f60	目前支持中、英、日文电话翻译，可去 MYVU App 调整语言
0x428fac	请保持 MYVU APP 在前台运行
0x428fd0	目前支持中、英、日文电话转写，可去 MYVU App 调整语言
0x42901c	检测到翻译延迟，建议关闭会议助手录音
0x429054	当前为手动提词模式
0x429070	当前为匀速提词模式
0x42908c	已经到最后一段了
0x4290a8	已经到第一段了
0x4290c0	已切换为手动提词模式
0x4290e0	已切换为匀速提词模式
0x429100	提词失败
0x429110	拨动滚轮进行上下翻页
0x429130	请打开 MYVU AR App 提词器重新发起提词
0x429164	选中上下翻页按钮后，单击翻页
0x429190	正在聆听
0x4291a0	麦克风被占用，请稍后再试。
0x4291c8	正在回微信，无法唤醒语音助理。
0x4291f8	正在打开微信
0x42920c	正在查找联系人
0x429224	单击指环停止
0x429238	单击触控板停止
0x429250	(也可以去 MYVU AR APP 导航页面添加目的地)
0x429288	检测到温度过高，请等降温后再使用
0x4292bc	检测到温度过高，将自动关机，请等降温后再使用
0x42e884	Wechatを開きいます
0x42e8a0	連絡先検索中
0x42eb3c	翻訳者
0x42eb60	音楽
0x42eb68	天気
0x42eb9c	工場出荷時の設定にリセットすると、グラスは自動的に再起動します
0x42ebfc	タップして確認/ダブルタップでキャンセル
0x42ec38	スマホに接続した後再試行してください
0x42ec70	更新予定時間は5分間で、更新中はグラスが使用できません
0x42ecc0	タップして再読み込み/ダブルタップでキャンセル
0x42ed04	今すぐアップデート
0x42ed20	今は更新しない
0x42ed38	サービスが異常です。再試行してください
0x42ed74	リングの電池残量はあと15%です
0x42eda0	リングの電池残量はあと5%です
0x42edcc	接続しました
0x42ede0	切断されました
0x42edf8	バインド解除済み
0x42ee14	グラスのバッテリー残量はあと15%です
0x42ee48	グラスのバッテリー残量はあと5%です
0x42ee7c	グラスのバッテリー残量が100%になりました
0x42eeb8	スマホでMYVUアプリをダウンロードして使用を続けてください
0x42ef0c	リングを押しながら振ることで、位置を調整できます
0x42ef58	リングのバインドが解除されました
0x42ef8c	はグラスとのバインドを解除しました。再度このグラスをバインドした後に使用を続けることができます
0x42f01c	タッチパッドでスライドして選択してください
0x42f05c	リングを押しながら手首を振って選択します
0x42f0bc	おはよう、新しい一日が始まりました!
0x42f0f4	新しい一日を迎え、活力に満ち溢れていることを願っています!
0x42f14c	楽しいスタートを切れますように!
0x42f17c	深夜です、休息を取ってください
0x42f1ac	健康を維持するためには、良い睡眠から始めましょう
0x42f1f8	健康な体には十分な睡眠が必要です。おやすみなさい
0x42f244	健康で安らかな眠りで満たされますように
0x42f280	1時間連続で使用しています。休憩してください!
0x42f2c4	目が疲れたら、少し休んでください
0x42f2f8	電源ボタン長押しで音声アシスタントを使用します
0x42f340	「Hey Aicy」と言ってください
0x42f368	通話中に電源ボタンを1秒間押し続けると、通話を切ることができます
0x42f3c8	着信時に電源ボタンを1回押すと、着信音を消します
0x42f410	保存しました。端末のアルバムをご確認ください
0x42f454	保存に失敗しました。もう一度スクリーンショットを取ってください
0x42f4b4	グラスファームウェアの更新
0x42f4dc	MYVUアプリにアクセスして、グラスのバージョンを最新版にアップデートしてください
0x42f550	アプリの更新
0x42f564	スマホでMYVU ARアプリを最新バージョンにアップデートしてください
0x42f5c0	タッチパッド長押しでアプリリストを開きます
0x42f600	リングを1回押してアプリリストを開きます
0x42f668	接続が切断されました。MYVU AR を開き、アプリの「プライバシーポリシー」に同意してから接続してください
0x42f728	接続が切断されました。MYVU AR を開き、「プライバシーポリシー」に同意してから連携してください
0x42f7b0	タップして確認
0x42f7c8	手首を動かして選択してください
0x42f7f8	手首を動かして位置を調整する
0x42f824	MYVU AR Appを開き接続後再度お試しください
0x42f878	転記
0x42f880	携帯電話を接続してください
0x42f8a8	携帯電話の個人情報処理規則に同意してください
0x42f8ec	まず携帯電話上の個人データの国境を越えた転送に同意してください
0x42f94c	更新予定時間は10分間で、更新中はグラスが使用できません
0x42f9a0	バッテリーが正常に表示されるようにするには、100% まで充電し、1 時間充電を続けてください。
0x42fa24	今日
0x42fa2c	月曜日
0x42fa38	火曜日
0x42fa44	水曜日
0x42fa50	木曜日
0x42fa5c	金曜日
0x42fa68	土曜日
0x42fa74	日曜日
0x42fa80	電源オフ
0x42fa90	取り消す
0x42faa0	xx等の残りの内容は、スマホアプリでご確認ください
0x42fae8	確認
0x42faf0	返信
0x42faf8	言う
0x42fb00	認証コード
0x42fb2c	ネットワークエラー。ネットワーク設定を確認してください
0x42fb80	ナビゲーション中の通知は無効です
0x42fbb4	ナビゲーション中の通知が有効です
0x42fbe8	歩行ナビゲーションに切り替え
0x42fc14	サイクリングナビゲーションに切り替え
0x42fc4c	運転ナビゲーションに切り替え
0x42fc78	切り換えに失敗しました
0x42fc9c	切り替え中…
0x42fcb0	ボイスナビが有効になりました
0x42fcdc	ボイスナビが無効になりました
0x42fd08	アプリを終了しますか？
0x42fd34	ルートが更新されました
0x42fd58	更新に失敗しました
0x42fd74	「第何番」または「どこへ行くか」を直接言ってください
0x42fdc4	現在
0x42fdcc	帰宅
0x42fdd4	会社に行く
0x42fde4	近くにあります
0x42fdfc	設定に向かう
0x42fe10	家の住所を教えてください
0x42fe38	会社の住所を教えてください
0x42fe60	目的地は現在地にすることはできません
0x42fe98	切り換えました
0x42feb0	切替に失敗しました。歩行距離が遠すぎます
0x42fef0	切り替えに失敗しました。サイクリングの距離が長すぎます
0x42ff44	ナビゲーションを終了しました
0x42ff70	MYVU ARアプリで自宅の住所を設定してください
0x42ffb0	MYVU ARアプリで会社の住所を設定してください
0x42fff0	リングを1秒間押して音声検索で住所を検索します
0x430034	電源ボタンを長押しして1秒間で住所の音声検索を使用します
0x430088	ダブルクリックでスモールウィンドウモードに入ります
0x4300d4	夜間はARナビゲーションを使用しないでください
0x430118	音量を上げてください
0x430138	歩行の残り距離
0x430150	運転の残り距離
0x430168	サイクリングの残り距離
0x43018c	必要な時間
0x43019c	現在時間
0x4301ac	クリックで開く / ダブルクリックで閉じる
0x4301e8	クリックして確認 / ダブルクリックでキャンセル
0x43022c	インストールに失敗しました
0x430254	更新には5分ほどかかりますので、
メガネをスマホと接続したままにしてください
0x4302c4	システムアップデート、再起動して有効にします
0x430308	更新には10分ほどかかりますので、
メガネをスマホと接続したままにしてください
0x430378	接続が切れました
0x430394	最初にスマホで音楽を再生してください
0x4303cc	その言語の表示は現在サポートされていません
0x43040c	サーバー接続に失敗しました
0x430434	再生可能なコンテンツがありません
0x430468	聞きたいものを聞く
0x430498	タップして再生 / ダブルタップで閉じる
0x4304d0	タップで一時停止 / ダブルタップで閉じる
0x43050c	楽曲情報の取得に失敗しました
0x430590	通話と通知機能をオンにしました
0x4305c0	通話と通知機能をオフにしました
0x4305f0	通話機能をオンにしました
0x430618	通話機能をオフにしました
0x430640	通知機能をオンにしました
0x430668	通知機能をオフにしました
0x430690	送信する
0x4306a0	話してください
0x4306b8	通話を終了した後に返信してください
0x4306ec	返信に失敗しました。スマホで返信してください
0x430730	送信に失敗しました。スマホで返信してください
0x430774	送信に失敗しました。スマホで送信してください
0x4307b8	送信しました
0x4307cc	タップして返信 / ダブルタップでキャンセル
0x43080c	タップして送信 / ダブルタップでキャンセル
0x43086c	スマホのロック解除時に、グラスでスマホの通知をリマインドする必要がありますか？
0x4308e4	シングルタップで通知 / ダブルタップで通知なし
0x430928	タップして応答 / ダブルタップで
切る
0x430960	ダブルタップで切る
0x43097c	電源ボタンを1秒間長押しして
切ります
0x4309b4	リングを1秒間押して切断します
0x4309e0	タップして電話をかける / ダブルタップでキャンセル
0x430a2c	切断中です
0x430a3c	MYVUアプリで電話をかける権限を許可してください
0x430a80	スマホで関連する権限を許可してください
0x430abc	発信に失敗しました。スマホで発信してください
0x430b00	応答に失敗しました。スマホで操作してください
0x430b44	切断に失敗しました。スマホで切ってください
0x430b84	通話後、相手がスマホのカメラ映像を見ることができます.
0x430bd4	通話中
0x430be0	電話に出た後、スマホで通話を切ってください
0x430c38	未知の番号
0x430c48	新しい通話があります。スマホで操作してください
0x430c90	スマホで操作してください
0x430cb8	電話
0x430cc0	マルチパーティーコール中
0x430ce8	新しい着信があります。応答または切断と言ってください
0x430d38	連絡先
0x430d5c	Wechat連絡先
0x430d6c	お待ちください
0x430d84	内容はAIによって生成され、参考用にしてください
0x430de0	新しいスケジュール
0x430dfc	詳細はスマートフォンでご確認ください
0x430e34	明日
0x430e3c	開始
0x430e44	終了
0x430e4c	ナビゲーションエラー。スマホの位置情報設定で、MYVU ARアプリに常時許可を与えてください
0x430ecc	との連携を解除
0x430ee4	解除中
0x430ef0	リングを1回押して戻る
0x430f10	タッチパッドを長押しで戻る
0x430f38	ダブルタップで戻る
0x430f64	明るさ
0x430f7c	装着検出
0x430f8c	自動画面消灯
0x430fa0	システム言語
0x430fb4	デバイスのペアリングを解除
0x430fdc	眼鏡について
0x430ff0	未接続
0x430ffc	バインドを解除する
0x431018	標準
0x43104c	日本語
0x431058	 個のデバイス
0x43106c	1分
0x431074	2分
0x43107c	デバイスの名前
0x431094	製品型番
0x4310e4	シリアル番号
0x4310f8	初期化する
0x431108	工場出荷時の設定にリセットされます。撤回することが出来ません
0x43118c	起動後、グラスをかけると自動的にスマートフォンに接続し、外すと自動的に切断します
0x431208	通知をブロックするには、オンにしてください
0x431248	メディア音量
0x43125c	電話音量
0x43126c	その他の設定
0x431280	グラスのタッチパッドをタップして、接続を更新します
0x4312cc	再読み込みました
0x4312e8	接続中
0x4312f4	接続中...
0x431304	"%s" のペアリングコード, スマホで確認してください
0x43134c	 接続しました!
0x431364	携帯電話
0x431394	ログイン後、「グラスをバインドする」をタップし、
スマホのポップアップガイドに従って接続を続行してください
0x431488	再起動
0x431494	ホイールをクリックして接続を更新します
0x4314d0	インターネット接続が不安定です
0x431500	ネットワークエラー。スマホのネットワークを確認してください
0x431558	サービスエラー。再試行してください。
0x431590	音声が検出されませんでした。翻訳を続行しますか？
0x4315dc	音声が検出されませんでした。文字起こしを続けますか？
0x43162c	記録はMYVU ARアプリに保存されました
0x431660	スマートフォン側の翻訳が終了しました
0x431698	マイクが使用中です。後でもう一度お試しください
0x4316e0	グラスを接続した後、再度お試しください
0x43171c	リモートサービスの起動に失敗しました
0x431754	同時通訳
0x431764	音声文字起こし
0x43177c	タップして続行 / ダブルタップでキャンセル
0x4317bc	中国語英語相互翻訳、聞き取り中
0x4317ec	中国語文字起こし、聞き取り中
0x431818	%s → %s、再生中
0x431830	%s文字起こし、再生中
0x431850	中国語
0x43185c	英語
0x431864	フランス語
0x431874	韓国語
0x431880	ロシア語
0x431890	スペイン語
0x4318a0	ベトナム語
0x4318b0	マレーシア語
0x4318c4	インドネシア語
0x4318dc	タイ語
0x4318e8	イタリア語
0x4318f8	ドイツ語
0x431908	トルコ語
0x431918	現在は手動での表示モードです
0x431944	現在は等速での表示モードです
0x431970	既に最後です
0x431984	既に最初です
0x431998	手動での表示モードに切り替えました
0x4319cc	等速での表示モードに切り替えました
0x431a00	原稿表示に失敗しました
0x431a24	MYVU ARアプリのプロンプターを開き、原稿表示をもう一度開始してください
0x431a8c	選択した上下のページ送りボタンをタップしてページをめくります
0x431ae8	聴取中です
0x431af8	WeChat返信中のため、音声アシスタントを起動できません。
0x431b48	リングをクリックして停止します
0x431b78	タッチパッドをタップして停止します
0x431bac	温度が高すぎます。冷ましてから再度ご利用ください
0x431bf8	温度が高すぎるため、自動的に電源オフします。冷ましてから再度ご利用ください
0x43bf80	标题标题2
0x43bf90	一二三四五六七内容文本内容文本内容
0x43bff0	标题标题1
0x43c000	文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本
0x43c0b0	轻触确认 / 双击取消
0x43c124	文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内
0x43c1b4	文本内容😀
0x43c1c8	文本内容文本内容文本内容文本内容
0x43c278	王二马
0x43c284	微信😀
0x43c290	单击回复/双击取消
0x43c364	设备名称设备名称设备名称设备名称
0x43e424	[图片]
0x43e430	[视频]
0x43e43c	[语音]
0x43e448	[语音通话]
0x43e458	[视频通话]
